date,pnl_day,equity
2026-02-25,0.0,150000.0
2026-02-26,0.0,150000.0
2026-02-27,592.6970080001747,150592.69700800016
2026-03-02,0.0,150592.69700800016
2026-03-04,-830.4980309997381,149762.19897700043
2026-03-05,0.0,149762.19897700043
2026-03-06,0.0,149762.19897700043
2026-03-09,0.0,149762.19897700043
2026-03-10,0.0,149762.19897700043
2026-03-11,-2369.8729653998253,147392.3260116006
2026-03-12,0.0,147392.3260116006
2026-03-13,0.0,147392.3260116006
2026-03-16,-7567.241664999912,139825.0843466007
2026-03-17,1085.8138058000436,140910.89815240074
2026-03-18,-585.4302189999127,140325.46793340083
2026-03-19,5572.8122990000875,145898.28023240092
2026-03-20,688.8126986,146587.09293100092
2026-03-23,3538.8812810001746,150125.97421200108
2026-03-24,4742.7508550000875,154868.72506700119
2026-03-25,-4131.168287599738,150737.55677940144
2026-03-27,869.8663370000874,151607.42311640154
2026-03-30,0.0,151607.42311640154
2026-04-01,-653.4483849999127,150953.97473140163
2026-04-02,-1362.628257199869,149591.34647420174
2026-04-06,-5214.0508209999125,144377.29565320184
2026-04-07,861.6782930002619,145238.9739462021
2026-04-08,-1977.7423077999563,143261.23163840215
2026-04-09,0.0,143261.23163840215
2026-04-10,2646.3351914001746,145907.56682980232
2026-04-13,0.0,145907.56682980232
2026-04-15,-1591.8941217999563,144315.67270800236
2026-04-16,0.0,144315.67270800236
2026-04-17,1803.7903574001746,146119.46306540252
2026-04-20,2300.028069800131,148419.49113520267
2026-04-21,-1227.6533237995634,147191.8378114031
2026-04-22,947.691639800131,148139.52945120324
2026-04-23,0.0,148139.52945120324
