entry_ts,exit_ts,side,qty,entry,exit,pnl,gross,reason,bars_held,regime
2025-10-01 14:11:00+05:30,2025-10-01 14:13:00+05:30,SELL,2,55373.8,55344.1,851.000000000131,891.000000000131,TARGET,2,CHOP
2025-10-03 14:39:00+05:30,2025-10-03 15:04:00+05:30,SELL,2,55567.65,55608.95,-1278.999999999869,-1238.999999999869,TARGET,25,RANGE
2025-10-07 12:57:00+05:30,2025-10-07 13:00:00+05:30,BUY,2,56378.549999999996,56401.3,642.5000000002183,682.5000000002183,TARGET,3,RANGE
2025-10-09 10:27:00+05:30,2025-10-09 10:41:00+05:30,SELL,2,55975.450000000004,56049.85,-2271.9999999998254,-2231.9999999998254,TIME,14,CHOP
2025-10-14 11:57:00+05:30,2025-10-14 12:23:00+05:30,SELL,2,56406.6,56311.65,2808.4999999999127,2848.4999999999127,TIME,26,RANGE
2025-10-14 13:10:00+05:30,2025-10-14 13:15:00+05:30,BUY,2,56255.65,56280.200000000004,696.5000000000873,736.5000000000873,TIME,5,RANGE
2025-10-16 11:48:00+05:30,2025-10-16 11:54:00+05:30,BUY,2,57101.4,57106.1,100.99999999991269,140.9999999999127,TIME,6,RANGE
2025-10-20 12:25:00+05:30,2025-10-20 12:34:00+05:30,BUY,2,58131.25,58174.1,1245.4999999999563,1285.4999999999563,TARGET,9,RANGE
2025-10-24 11:32:00+05:30,2025-10-24 11:44:00+05:30,BUY,2,57767.549999999996,57815.9,1410.5000000001746,1450.5000000001746,TIME,12,CHOP
2025-10-27 10:05:00+05:30,2025-10-27 10:07:00+05:30,BUY,2,57933.85,58011.9,2301.5000000000873,2341.5000000000873,TARGET,2,RANGE
2025-10-29 14:19:00+05:30,2025-10-29 14:24:00+05:30,SELL,2,58442.950000000004,58393.4,1446.5000000000873,1486.5000000000873,TARGET,5,CHOP
2025-10-30 11:15:00+05:30,2025-10-30 11:37:00+05:30,SELL,2,58242.35,58190.7,1509.5000000000437,1549.5000000000437,TIME,22,RANGE
2025-11-06 11:15:00+05:30,2025-11-06 11:51:00+05:30,BUY,2,57628.799999999996,57624.1,-180.9999999999127,-140.9999999999127,TARGET,36,RANGE
2025-11-06 12:44:00+05:30,2025-11-06 12:57:00+05:30,SELL,2,57651.200000000004,57700.15,-1508.4999999999127,-1468.4999999999127,TIME,13,RANGE
2025-11-06 13:52:00+05:30,2025-11-06 14:09:00+05:30,BUY,2,57602.2,57655.15,1548.500000000131,1588.500000000131,TARGET,17,RANGE
2025-11-12 11:36:00+05:30,2025-11-12 11:46:00+05:30,SELL,2,58343.8,58329.85,378.50000000013097,418.50000000013097,TIME,10,RANGE
2025-11-12 14:40:00+05:30,2025-11-12 14:43:00+05:30,SELL,2,58404.950000000004,58355.9,1431.5000000000873,1471.5000000000873,TARGET,3,CHOP
2025-11-13 12:30:00+05:30,2025-11-13 12:35:00+05:30,BUY,2,58578.95,58536.450000000004,-1314.9999999997817,-1274.9999999997817,TIME,5,RANGE
2025-11-13 13:55:00+05:30,2025-11-13 14:07:00+05:30,BUY,2,58547.95,58425.55,-3711.9999999998254,-3671.9999999998254,TIME,12,RANGE
2025-11-14 10:37:00+05:30,2025-11-14 10:46:00+05:30,BUY,2,58199.6,58220.65,591.5000000000873,631.5000000000873,TARGET,9,RANGE
2025-11-17 12:03:00+05:30,2025-11-17 12:30:00+05:30,SELL,2,58927.9,58916.4,305.0,345.0,TARGET,27,RANGE
2025-11-25 11:31:00+05:30,2025-11-25 12:02:00+05:30,SELL,2,58872.5,58985.5,-3430.0,-3390.0,TIME,31,CHOP
2025-11-28 10:18:00+05:30,2025-11-28 10:37:00+05:30,BUY,2,59660.15,59756.450000000004,2849.0000000000873,2889.0000000000873,TIME,19,CHOP
2025-11-28 12:11:00+05:30,2025-11-28 12:24:00+05:30,BUY,2,59785.95,59777.9,-281.49999999986903,-241.49999999986903,TIME,13,CHOP
2025-12-01 13:00:00+05:30,2025-12-01 13:14:00+05:30,SELL,2,59754.65,59777.95,-738.999999999869,-698.999999999869,TIME,14,RANGE
2025-12-05 12:26:00+05:30,2025-12-05 12:54:00+05:30,SELL,2,59625.75,59751.4,-3809.5000000000437,-3769.5000000000437,TARGET,28,CHOP
2025-12-08 10:52:00+05:30,2025-12-08 11:07:00+05:30,BUY,2,59517.6,59440.55,-2351.499999999869,-2311.499999999869,TIME,15,RANGE
2025-12-10 13:55:00+05:30,2025-12-10 14:15:00+05:30,BUY,2,58998.049999999996,58891.4,-3239.4999999998254,-3199.4999999998254,TIME,20,CHOP
2025-12-11 10:08:00+05:30,2025-12-11 10:45:00+05:30,SELL,2,58985.6,59179.549999999996,-5858.499999999913,-5818.499999999913,TIME,37,CHOP
