entry_ts,exit_ts,side,qty,entry,exit,pnl,gross,reason,bars_held,regime
2025-10-01 14:11:00+05:30,2025-10-01 14:13:00+05:30,SELL,2,55373.8,55344.1,851.000000000131,891.000000000131,TARGET,2,CHOP
2025-10-16 11:48:00+05:30,2025-10-16 11:54:00+05:30,BUY,2,57101.4,57106.1,100.99999999991269,140.9999999999127,TIME,6,RANGE
2025-10-20 12:25:00+05:30,2025-10-20 12:34:00+05:30,BUY,2,58131.25,58174.1,1245.4999999999563,1285.4999999999563,TARGET,9,RANGE
2025-10-24 11:32:00+05:30,2025-10-24 11:44:00+05:30,BUY,2,57767.549999999996,57815.9,1410.5000000001746,1450.5000000001746,TIME,12,CHOP
2025-10-27 10:05:00+05:30,2025-10-27 10:07:00+05:30,BUY,2,57933.85,58011.9,2301.5000000000873,2341.5000000000873,TARGET,2,RANGE
2025-11-06 11:15:00+05:30,2025-11-06 11:51:00+05:30,BUY,2,57628.799999999996,57624.1,-180.9999999999127,-140.9999999999127,TARGET,36,RANGE
2025-11-06 12:44:00+05:30,2025-11-06 12:57:00+05:30,SELL,2,57651.200000000004,57700.15,-1508.4999999999127,-1468.4999999999127,TIME,13,RANGE
2025-11-06 13:52:00+05:30,2025-11-06 14:09:00+05:30,BUY,2,57602.2,57655.15,1548.500000000131,1588.500000000131,TARGET,17,RANGE
2025-11-12 11:36:00+05:30,2025-11-12 11:46:00+05:30,SELL,2,58343.8,58329.85,378.50000000013097,418.50000000013097,TIME,10,RANGE
2025-11-13 12:30:00+05:30,2025-11-13 12:35:00+05:30,BUY,2,58578.95,58536.450000000004,-1314.9999999997817,-1274.9999999997817,TIME,5,RANGE
2025-11-13 13:55:00+05:30,2025-11-13 14:07:00+05:30,BUY,2,58547.95,58425.55,-3711.9999999998254,-3671.9999999998254,TIME,12,RANGE
2025-11-17 12:03:00+05:30,2025-11-17 12:30:00+05:30,SELL,2,58927.9,58916.4,305.0,345.0,TARGET,27,RANGE
2025-11-28 10:18:00+05:30,2025-11-28 10:37:00+05:30,BUY,2,59660.15,59756.450000000004,2849.0000000000873,2889.0000000000873,TIME,19,CHOP
2025-11-28 12:11:00+05:30,2025-11-28 12:24:00+05:30,BUY,2,59785.95,59777.9,-281.49999999986903,-241.49999999986903,TIME,13,CHOP
2025-12-01 13:00:00+05:30,2025-12-01 13:14:00+05:30,SELL,2,59754.65,59777.95,-738.999999999869,-698.999999999869,TIME,14,RANGE
2025-12-05 12:26:00+05:30,2025-12-05 12:54:00+05:30,SELL,2,59625.75,59751.4,-3809.5000000000437,-3769.5000000000437,TARGET,28,CHOP
2025-12-08 10:52:00+05:30,2025-12-08 11:07:00+05:30,BUY,2,59517.6,59440.55,-2351.499999999869,-2311.499999999869,TIME,15,RANGE
2025-12-10 13:55:00+05:30,2025-12-10 14:15:00+05:30,BUY,2,58998.049999999996,58891.4,-3239.4999999998254,-3199.4999999998254,TIME,20,CHOP
2025-12-11 10:09:00+05:30,2025-12-11 10:39:00+05:30,SELL,2,58975.700000000004,59181.35,-6209.499999999825,-6169.499999999825,TIME,30,CHOP
2025-12-12 14:41:00+05:30,2025-12-12 15:04:00+05:30,BUY,2,59354.799999999996,59377.0,626.000000000131,666.000000000131,TARGET,23,CHOP
2025-12-23 11:34:00+05:30,2025-12-23 11:49:00+05:30,BUY,2,59287.15,59242.1,-1391.5000000000873,-1351.5000000000873,TIME,15,RANGE
2025-12-24 12:44:00+05:30,2025-12-24 12:52:00+05:30,BUY,2,59320.1,59318.4,-90.99999999991269,-50.99999999991269,TIME,8,RANGE
2026-01-05 11:12:00+05:30,2026-01-05 11:15:00+05:30,BUY,2,60282.65,60314.55,917.0000000000437,957.0000000000437,TARGET,3,RANGE
2026-01-05 11:21:00+05:30,2026-01-05 11:41:00+05:30,BUY,2,60255.9,60213.65,-1307.5,-1267.5,TARGET,20,CHOP
2026-01-05 12:44:00+05:30,2026-01-05 12:52:00+05:30,BUY,2,60206.4,60237.15,882.5,922.5,TARGET,8,RANGE
2026-01-09 12:35:00+05:30,2026-01-09 12:55:00+05:30,BUY,2,59307.4,59305.8,-87.99999999995634,-47.999999999956344,TIME,20,RANGE
2026-01-09 14:43:00+05:30,2026-01-09 14:45:00+05:30,BUY,2,59185.5,59211.55,741.5000000000873,781.5000000000873,TARGET,2,RANGE
2026-01-12 14:08:00+05:30,2026-01-12 14:25:00+05:30,BUY,2,59409.1,59459.5,1472.0000000000437,1512.0000000000437,TARGET,17,RANGE
2026-01-16 11:32:00+05:30,2026-01-16 11:40:00+05:30,SELL,2,60106.8,60022.049999999996,2502.5000000002183,2542.5000000002183,TARGET,8,CHOP
2026-01-16 14:35:00+05:30,2026-01-16 14:44:00+05:30,SELL,2,60083.950000000004,60104.6,-659.4999999998254,-619.4999999998254,TIME,9,RANGE
2026-01-22 13:37:00+05:30,2026-01-22 13:51:00+05:30,SELL,2,59038.05,59053.5,-503.4999999999127,-463.4999999999127,TIME,14,RANGE
2026-02-02 13:00:00+05:30,2026-02-02 13:27:00+05:30,SELL,2,58256.75,58076.799999999996,5358.500000000131,5398.500000000131,TIME,27,RANGE
2026-02-05 12:14:00+05:30,2026-02-05 12:31:00+05:30,BUY,2,60016.1,60014.05,-101.49999999986903,-61.49999999986903,TIME,17,CHOP
2026-02-11 11:10:00+05:30,2026-02-11 11:22:00+05:30,BUY,2,60606.9,60645.0,1102.9999999999563,1142.9999999999563,TIME,12,RANGE
2026-02-12 10:49:00+05:30,2026-02-12 11:08:00+05:30,BUY,2,60788.15,60816.15,800.0,840.0,TIME,19,RANGE
2026-02-12 12:34:00+05:30,2026-02-12 12:48:00+05:30,SELL,2,60751.4,60744.0,182.00000000004366,222.00000000004366,TIME,14,CHOP
2026-02-26 14:05:00+05:30,2026-02-26 14:16:00+05:30,BUY,2,60905.25,60977.55,2129.0000000000873,2169.0000000000873,TIME,11,RANGE
2026-03-04 12:16:00+05:30,2026-03-04 12:28:00+05:30,BUY,2,58494.0,58525.0,890.0,930.0,TIME,12,RANGE
2026-03-12 11:59:00+05:30,2026-03-12 12:09:00+05:30,SELL,2,55174.0,55144.2,854.0000000000873,894.0000000000873,TIME,10,RANGE
2026-03-16 14:13:00+05:30,2026-03-16 14:35:00+05:30,SELL,2,53776.200000000004,54263.25,-14651.499999999869,-14611.499999999869,TIME,22,RANGE
2026-03-17 14:05:00+05:30,2026-03-17 14:16:00+05:30,SELL,2,54695.5,54783.35,-2675.4999999999563,-2635.4999999999563,TIME,11,RANGE
2026-03-20 11:23:00+05:30,2026-03-20 11:37:00+05:30,SELL,2,54201.55,54094.049999999996,3185.0000000002183,3225.0000000002183,TIME,14,CHOP
2026-03-20 13:43:00+05:30,2026-03-20 13:50:00+05:30,BUY,2,53810.549999999996,53713.25,-2958.999999999869,-2918.999999999869,TIME,7,RANGE
2026-03-23 12:26:00+05:30,2026-03-23 12:42:00+05:30,BUY,2,51613.45,51761.35,4397.000000000044,4437.000000000044,TARGET,16,RANGE
2026-04-08 13:38:00+05:30,2026-04-08 13:56:00+05:30,SELL,2,55509.35,55428.049999999996,2399.0000000000873,2439.0000000000873,TARGET,18,RANGE
2026-04-20 14:27:00+05:30,2026-04-20 14:41:00+05:30,SELL,2,56724.5,56665.95,1716.5000000000873,1756.5000000000873,TARGET,14,RANGE
2026-04-23 11:44:00+05:30,2026-04-23 11:54:00+05:30,BUY,2,56530.35,56583.75,1562.0000000000437,1602.0000000000437,TIME,10,RANGE
